id;stock;imagen;talla;color;coleccion
1;19668;robust GB Increible;Refinado Berkshire B2C;Violeta;45788
2;4411;Account deposit;payment Producto;Verde;80313
3;65104;matrix Cambridgeshire Fantástico;Rojo Intranet unleash;Rojo;52769
4;15966;Metal Camino Ergonómico;a Bedfordshire;Gris;15394
5;78183;Cambridgeshire Administrador sensor;Grupo;Amarillo;98752
6;68246;proactive;Loan;Azul;24279
7;36537;transicional datos;Programable;Amarillo;84333
8;83724;Multi radical;Negro;Gris;54475
9;85820;reboot bypassing terciaria;Explanada Decoración;Azul;75542
10;13030;engineer Director synthesize;parse online payment;Gris;96558
