id;stock;imagen;talla;color;coleccion
1;37418;Pequeño intuitive;invoice leading-edge;Rojo;39731
2;57355;PCI syndicate paradigms;Polígono payment bus;Verde;43122
3;33166;en Universal;Gorro;Rojo;42476
4;43200;bandwidth ubiquitous compressing;wireless engineer;Violeta;83708
5;48748;Tobago program;Operativo;Violeta;15608
6;12010;Granito;de Lebanese Orígenes;Violeta;81869
7;12723;Pequeño Desarrollador Artesanal;matrix Refinado world-class;Amarillo;60745
8;72336;Sorprendente Integrado port;Investment;Azul;56137
9;77693;Conjunto rich;Monte;Negro;90781
10;49187;Administrador Manzana Camiseta;Berkshire payment;Morado;51839
