id;stock;imagen;talla;color;coleccion
1;97381;Operaciones bandwidth;mindshare;Verde;97188
2;96263;payment feed;scale Verde nacional;Violeta;55724
3;87367;Ensalada Integrado mejora;payment seize;Azul;65694
4;22523;Reactivo;Leona recontextualize Bedfordshire;Blanco;54901
5;15890;Senda;Morado;Blanco;55992
6;22731;Borders;Avenida Analista Patatas;Verde;69982
7;78974;copy;digital Gerente Account;Gris;68911
8;49373;Cambridgeshire Blanco Account;auxiliary Web Programa;Amarillo;22553
9;68111;Ergonómico Muelle generate;Azul override Avon;Verde;89080
10;25175;Mascotas Especialista recontextualize;Atún Sincronizado global;Amarillo;66756
